area2,Skincare4,Level,another,counts
 คาง, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,มี,1
 คาง, มาส์กหน้า,ปานกลาง,ไม่มี,1
 คาง, โฟมล้างหน้า,ปานกลาง,มี,1
 คาง, โฟมล้างหน้า,น้อยมาก,ไม่มี,1
 คาง, มาส์กหน้า,รุนแรง,ไม่มี,1
 จมูก, ยารักษาสิว,ปานกลาง,ไม่มี,2
 จมูก, ยารักษาสิว,ปานกลาง,มี,1
 จมูก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
 รอบปาก, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
 แก้ม, มาส์กหน้า,ปานกลาง,ไม่มี,3
 แก้ม, โฟมล้างหน้า,ปานกลาง,มี,2
 แก้ม, มาส์กหน้า,ปานกลาง,มี,2
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,รุนแรง,มี,1
 แก้ม, โฟมล้างหน้า,น้อยมาก,มี,1
 แก้ม, ยารักษาสิว,รุนแรง,ไม่มี,1
 แก้ม, ยารักษาสิว,ปานกลาง,ไม่มี,1
 แก้ม, ยารักษาสิว,ปานกลาง,มี,1
 แก้ม, มาส์กหน้า,รุนแรง,ไม่มี,1
 แก้ม, มาส์กหน้า,น้อยมาก,มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,มี,1
 แก้ม, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
