area1,Skincare4,Level,another,counts
คาง, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,1
คาง, มาส์กหน้า,ปานกลาง,ไม่มี,1
คาง, ยารักษาสิว,ปานกลาง,มี,1
จมูก, โฟมล้างหน้า,น้อยมาก,ไม่มี,1
จมูก, มาส์กหน้า,น้อยมาก,ไม่มี,1
จมูก, มาส์กหน้า,น้อยมาก,มี,1
จมูก, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,ไม่มี,1
หน้าผาก, มาส์กหน้า,ปานกลาง,ไม่มี,4
หน้าผาก, โฟมล้างหน้า,ปานกลาง,มี,3
หน้าผาก, โฟมล้างหน้า,ปานกลาง,ไม่มี,3
หน้าผาก, ยารักษาสิว,ปานกลาง,ไม่มี,2
หน้าผาก, มาส์กหน้า,ปานกลาง,มี,2
หน้าผาก, ยารักษาสิว,ปานกลาง,มี,2
หน้าผาก, โฟมล้างหน้า,รุนแรง,มี,1
หน้าผาก, โฟมล้างหน้า,น้อยมาก,มี,1
หน้าผาก, ยารักษาสิว,รุนแรง,ไม่มี,1
หน้าผาก, มาส์กหน้า,รุนแรง,ไม่มี,1
หน้าผาก, มาส์กหน้า,น้อยมาก,มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,รุนแรง,มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,มี,1
หน้าผาก, ยารักษาสิว,น้อยมาก,มี,1
แก้ม, โฟมล้างหน้า,ปานกลาง,ไม่มี,2
แก้ม, ยารักษาสิว,ปานกลาง,ไม่มี,2
แก้ม, โฟมล้างหน้า,น้อยมาก,ไม่มี,2
แก้ม, โฟมล้างหน้า,ปานกลาง,มี,2
แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
แก้ม, มาส์กหน้า,รุนแรง,ไม่มี,1
แก้ม, โฟมล้างหน้า,น้อยมาก,มี,1
แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,มี,1
