area2,Skincare1,Level,another,counts
 คาง,ครีมบำรุงผิว,น้อยมาก,มี,1
 คาง,ครีมบำรุงผิว,น้อยมาก,ไม่มี,1
 คาง,ไม่เคยใช้สกินแคร์,ปานกลาง,มี,1
 คาง,โฟมล้างหน้า,ปานกลาง,ไม่มี,1
 คาง,โทนเนอร์,น้อยมาก,ไม่มี,1
 คาง,เซรั่ม,ปานกลาง,มี,1
 คาง,ยารักษาสิว,ปานกลาง,มี,1
 คาง,ครีมบำรุงผิว,รุนแรง,ไม่มี,1
 คาง,ครีมบำรุงผิว,ปานกลาง,ไม่มี,1
 จมูก,ครีมบำรุงผิว,ปานกลาง,ไม่มี,4
 จมูก,เซรั่ม,ปานกลาง,ไม่มี,1
 จมูก,ครีมบำรุงผิว,รุนแรง,มี,1
 จมูก,ครีมบำรุงผิว,ปานกลาง,มี,1
 รอบปาก,ครีมบำรุงผิว,ปานกลาง,ไม่มี,2
 รอบปาก,ไม่เคยใช้สกินแคร์,ปานกลาง,ไม่มี,1
 แก้ม,ครีมบำรุงผิว,ปานกลาง,ไม่มี,7
 แก้ม,ครีมบำรุงผิว,ปานกลาง,มี,4
 แก้ม,ครีมบำรุงผิว,น้อยมาก,มี,4
 แก้ม,โฟมล้างหน้า,ปานกลาง,ไม่มี,2
 แก้ม,ยารักษาสิว,ปานกลาง,ไม่มี,2
 แก้ม,มาส์กหน้า,ปานกลาง,ไม่มี,2
 แก้ม,ครีมบำรุงผิว,รุนแรง,ไม่มี,2
 แก้ม,โทนเนอร์,ปานกลาง,มี,1
 แก้ม,เซรั่ม,ปานกลาง,ไม่มี,1
 แก้ม,เซรั่ม,ปานกลาง,มี,1
 แก้ม,เซรั่ม,น้อยมาก,ไม่มี,1
 แก้ม,มาส์กหน้า,ปานกลาง,มี,1
 แก้ม,ครีมบำรุงผิว,รุนแรง,มี,1
 แก้ม,โฟมล้างหน้า,รุนแรง,ไม่มี,1
