area2,Skincare3,Level,another,counts
 คาง, ยารักษาสิว,รุนแรง,ไม่มี,1
 คาง, มาส์กหน้า,น้อยมาก,มี,1
 คาง, ยารักษาสิว,ปานกลาง,ไม่มี,1
 คาง, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,1
 คาง, โฟมล้างหน้า,ปานกลาง,มี,1
 คาง, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,ไม่มี,1
 จมูก, เซรั่ม,ปานกลาง,ไม่มี,2
 จมูก, โฟมล้างหน้า,ปานกลาง,ไม่มี,2
 จมูก, เซรั่ม,ปานกลาง,มี,1
 จมูก, ยารักษาสิว,ปานกลาง,ไม่มี,1
 จมูก, โฟมล้างหน้า,รุนแรง,มี,1
 รอบปาก, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
 รอบปาก, เซรั่ม,ปานกลาง,ไม่มี,1
 แก้ม, ยารักษาสิว,ปานกลาง,ไม่มี,3
 แก้ม, ยารักษาสิว,ปานกลาง,มี,3
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,2
 แก้ม, เซรั่ม,ปานกลาง,ไม่มี,2
 แก้ม, โฟมล้างหน้า,ปานกลาง,ไม่มี,2
 แก้ม, โฟมล้างหน้า,ปานกลาง,มี,1
 แก้ม, โฟมล้างหน้า,น้อยมาก,มี,1
 แก้ม, เซรั่ม,รุนแรง,ไม่มี,1
 แก้ม, เซรั่ม,ปานกลาง,มี,1
 แก้ม, เซรั่ม,น้อยมาก,มี,1
 แก้ม, ยารักษาสิว,รุนแรง,ไม่มี,1
 แก้ม, ยารักษาสิว,น้อยมาก,มี,1
 แก้ม, มาส์กหน้า,รุนแรง,มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
 แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,มี,1
