area3,Skincare2,Level,another,counts
 ขมับ, เจลล้างหน้า,ปานกลาง,ไม่มี,1
 คาง, เซรั่ม,ปานกลาง,มี,2
 คาง, เซรั่ม,ปานกลาง,ไม่มี,2
 คาง, โทนเนอร์,ปานกลาง,ไม่มี,2
 คาง, มาส์กหน้า,น้อยมาก,มี,1
 คาง, เซรั่ม,น้อยมาก,มี,1
 คาง, เซรั่ม,รุนแรง,ไม่มี,1
 คาง, โทนเนอร์,ปานกลาง,มี,1
 คาง, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
 จมูก, มาส์กหน้า,ปานกลาง,ไม่มี,1
 จมูก, ยารักษาสิว,ปานกลาง,มี,1
 รอบปาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,1
 รอบปาก, มาส์กหน้า,ปานกลาง,มี,1
 รอบปาก, โทนเนอร์,ปานกลาง,ไม่มี,1
 รอบปาก, โทนเนอร์,รุนแรง,มี,1
