area1,Skincare1,Level,another,counts
คาง,ครีมบำรุงผิว,ปานกลาง,มี,3
คาง,ครีมบำรุงผิว,น้อยมาก,มี,1
คาง,เซรั่ม,ปานกลาง,ไม่มี,1
คาง,ยารักษาสิว,น้อยมาก,มี,1
คาง,ครีมบำรุงผิว,ปานกลาง,ไม่มี,1
จมูก,ครีมบำรุงผิว,น้อยมาก,ไม่มี,3
จมูก,ครีมบำรุงผิว,น้อยมาก,มี,1
รอบปาก,โทนเนอร์,ปานกลาง,ไม่มี,1
หน้าผาก,ครีมบำรุงผิว,ปานกลาง,ไม่มี,12
หน้าผาก,ครีมบำรุงผิว,น้อยมาก,มี,5
หน้าผาก,ครีมบำรุงผิว,ปานกลาง,มี,5
หน้าผาก,โทนเนอร์,ปานกลาง,มี,2
หน้าผาก,มาส์กหน้า,ปานกลาง,ไม่มี,2
หน้าผาก,โฟมล้างหน้า,ปานกลาง,ไม่มี,2
หน้าผาก,เซรั่ม,ปานกลาง,ไม่มี,2
หน้าผาก,เซรั่ม,น้อยมาก,ไม่มี,2
หน้าผาก,ยารักษาสิว,ปานกลาง,ไม่มี,2
หน้าผาก,ครีมบำรุงผิว,รุนแรง,ไม่มี,2
หน้าผาก,ครีมบำรุงผิว,รุนแรง,มี,2
หน้าผาก,ไม่เคยใช้สกินแคร์,ปานกลาง,มี,1
หน้าผาก,โฟมล้างหน้า,รุนแรง,ไม่มี,1
หน้าผาก,โฟมล้างหน้า,น้อยมาก,ไม่มี,1
หน้าผาก,เซรั่ม,ปานกลาง,มี,1
หน้าผาก,มาส์กหน้า,ปานกลาง,มี,1
หน้าผาก,ครีมบำรุงผิว,น้อยมาก,ไม่มี,1
แก้ม,ครีมบำรุงผิว,ปานกลาง,ไม่มี,7
แก้ม,ครีมบำรุงผิว,น้อยมาก,มี,2
แก้ม,ครีมบำรุงผิว,ปานกลาง,มี,1
แก้ม,เซรั่ม,ปานกลาง,มี,1
แก้ม,เซรั่ม,ปานกลาง,ไม่มี,1
แก้ม,เซรั่ม,รุนแรง,ไม่มี,1
แก้ม,ยารักษาสิว,ปานกลาง,มี,1
แก้ม,โทนเนอร์,น้อยมาก,ไม่มี,1
แก้ม,โทนเนอร์,ปานกลาง,มี,1
แก้ม,ครีมบำรุงผิว,รุนแรง,ไม่มี,1
แก้ม,โฟมล้างหน้า,ปานกลาง,ไม่มี,1
แก้ม,ครีมบำรุงผิว,รุนแรง,มี,1
แก้ม,ไม่เคยใช้สกินแคร์,น้อยมาก,ไม่มี,1
แก้ม,ครีมบำรุงผิว,น้อยมาก,ไม่มี,1
แก้ม,ไม่เคยใช้สกินแคร์,ปานกลาง,ไม่มี,1
