area1,Skincare5,Level,another,counts
คาง, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
คาง, มาส์กหน้า,ปานกลาง,มี,1
คาง, โฟมล้างหน้า,ปานกลาง,มี,1
จมูก, โฟมล้างหน้า,น้อยมาก,ไม่มี,1
จมูก, โฟมล้างหน้า,น้อยมาก,มี,1
จมูก, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,ไม่มี,1
หน้าผาก, โฟมล้างหน้า,ปานกลาง,ไม่มี,4
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,2
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,2
หน้าผาก, มาส์กหน้า,ปานกลาง,มี,2
หน้าผาก, มาส์กหน้า,รุนแรง,ไม่มี,1
หน้าผาก, โฟมล้างหน้า,รุนแรง,มี,1
หน้าผาก, โฟมล้างหน้า,ปานกลาง,มี,1
หน้าผาก, มาส์กหน้า,น้อยมาก,มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,รุนแรง,ไม่มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,น้อยมาก,มี,1
แก้ม, โฟมล้างหน้า,ปานกลาง,ไม่มี,1
แก้ม, มาส์กหน้า,ปานกลาง,ไม่มี,1
แก้ม, มอยส์ เรตินอล,น้อยมาก,ไม่มี,1
แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
แก้ม, โฟมล้างหน้า,รุนแรง,ไม่มี,1
