area1,Skincare2,Level,another,counts
คาง, เซรั่ม,ปานกลาง,มี,2
คาง, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
คาง, เซรั่ม,น้อยมาก,มี,1
คาง, โทนเนอร์,ปานกลาง,มี,1
คาง, เซรั่ม,ปานกลาง,ไม่มี,1
จมูก, โทนเนอร์,น้อยมาก,ไม่มี,2
จมูก, โทนเนอร์,น้อยมาก,มี,1
จมูก, เซรั่ม,น้อยมาก,ไม่มี,1
หน้าผาก, เซรั่ม,ปานกลาง,ไม่มี,6
หน้าผาก, โทนเนอร์,ปานกลาง,ไม่มี,4
หน้าผาก, โทนเนอร์,ปานกลาง,มี,3
หน้าผาก, เซรั่ม,ปานกลาง,มี,3
หน้าผาก, โทนเนอร์,น้อยมาก,มี,2
หน้าผาก, เซรั่ม,น้อยมาก,มี,2
หน้าผาก, โฟมล้างหน้า,ปานกลาง,ไม่มี,2
หน้าผาก, มาส์กหน้า,ปานกลาง,มี,2
หน้าผาก, โทนเนอร์,รุนแรง,ไม่มี,1
หน้าผาก, โฟมล้างหน้า,น้อยมาก,ไม่มี,1
หน้าผาก, เซรั่ม,รุนแรง,ไม่มี,1
หน้าผาก, โทนเนอร์,รุนแรง,มี,1
หน้าผาก, เจลล้างหน้า,ปานกลาง,ไม่มี,1
หน้าผาก, ยารักษาสิว,รุนแรง,มี,1
หน้าผาก, ยารักษาสิว,ปานกลาง,ไม่มี,1
หน้าผาก, มาส์กหน้า,ปานกลาง,ไม่มี,1
หน้าผาก, มาส์กหน้า,น้อยมาก,ไม่มี,1
หน้าผาก, มาส์กหน้า,น้อยมาก,มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
หน้าผาก, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,มี,1
แก้ม, โทนเนอร์,ปานกลาง,ไม่มี,4
แก้ม, มาส์กหน้า,ปานกลาง,ไม่มี,2
แก้ม, มาส์กหน้า,ปานกลาง,มี,2
แก้ม, ยารักษาสิว,น้อยมาก,มี,1
แก้ม, ยารักษาสิว,น้อยมาก,ไม่มี,1
แก้ม, ยารักษาสิว,ปานกลาง,มี,1
แก้ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,ปานกลาง,ไม่มี,1
แก้ม, เซรั่ม,น้อยมาก,มี,1
แก้ม, เซรั่ม,น้อยมาก,ไม่มี,1
แก้ม, เซรั่ม,ปานกลาง,ไม่มี,1
แก้ม, เซรั่ม,รุนแรง,ไม่มี,1
แก้ม, โทนเนอร์,รุนแรง,มี,1
